RESP_FINAL;VIDEOS;CATEGORY;SCF1R;SCF1_MOY;ETHNI_USR;HAIR_LENGTHR;HAIR_THICKNESSR;HAIR_TYPER;HAIR_GREYR;filename;eval_cluster;single_cluster;Image_SkinCluster
2031;1;Light;2;40;1;6;2;3;1;203103_81.jpg;3;FAUX;3
4023;1;Medium;1;36;1;7;3;3;1;402303_81.jpg;2;FAUX;1
2197;1;Dark;2;47;2;5;4;3;1;219703_81.jpg;5;VRAI;5
2032;1;Medium;2;43;1;4;4;3;2;203203_81.jpg;3;FAUX;3
4116;1;Dark;1;25;5;7;4;6;1;411603_81.jpg;1;VRAI;1
1059;1;Dark;2;48;1;5;3;3;3;105903_81.jpg;1;VRAI;3
1053;1;Dark;1;37;1;6;3;4;2;105303_81.jpg;2;FAUX;2
2198;1;Dark;1;32;2;3;5;3;1;219803_81.jpg;6;VRAI;5
2243;1;Dark;3;51;2;3;3;4;3;224303_81.jpg;6;VRAI;6
2210;1;Dark;1;29;2;4;5;5;1;221003_81.jpg;6;VRAI;6
4070;1;Dark;1;29;4;4;3;6;1;407003_81.jpg;3;FAUX;1
4069;1;Light;2;48;4;7;3;6;1;406903_81.jpg;3;VRAI;1
4141;1;Dark;1;29;4;7;3;3;1;414103_81.jpg;3;FAUX;3
4024;1;Dark;1;25;3;6;3;3;1;402403_81.jpg;2;FAUX;1
4025;1;Light;1;29;1;6;3;4;1;402503_81.jpg;1;FAUX;1
4026;1;Light;2;47;1;4;3;6;1;402603_81.jpg;2;FAUX;1
4073;1;Dark;1;30;4;5;3;3;1;407303_81.jpg;1;FAUX;1
1121;1;Medium;2;46;1;5;2;3;3;112103_81.jpg;4;VRAI;4
1116;1;Light;2;43;1;6;4;4;3;111603_81.jpg;3;FAUX;3
1075;1;Medium;3;51;1;6;3;3;3;107503_81.jpg;2;FAUX;2
1105;1;Light;3;54;1;4;2;3;2;110503_81.jpg;3;VRAI;4
1009;1;Medium;3;50;1;6;3;3;1;100903_81.jpg;3;FAUX;2
1043;1;Dark;3;50;1;5;3;4;3;104303_81.jpg;2;FAUX;2
2057;1;Light;3;54;1;5;3;6;2;205703_81.jpg;2;VRAI;2
1035;1;Light;4;63;1;4;4;3;2;103503_81.jpg;3;FAUX;2
1068;1;Medium;4;62;1;4;3;3;2;106803_81.jpg;3;FAUX;3
1069;1;Dark;3;53;1;5;2;3;5;106903_81.jpg;2;FAUX;2
1066;1;Light;4;64;1;4;4;3;3;106603_81.jpg;1;FAUX;3
